한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
446,195,176,632,94,34,63,75,20,29,78,21,23,7,3,49,20,23,9,23926,2.5,9570,146,13045,151398,51722,67.25,42.5,1,0,0,0,0
183,161,58,57,65,41,50,33,25,33,20,17,35,6,59,20,10,9,4,34010,2.09,16273,32,3866,24185,8813,89.0,49.0,1,0,0,0,0
78,110,33,19,39,51,25,11,15,13,8,8,10,9,12,4,5,4,6,23644,0.6,39407,9,1162,3287,1499,92.5,46.25,1,0,0,0,0
127,148,58,51,73,70,60,32,28,26,15,15,15,21,14,37,7,6,9,32016,0.92,34800,11,2189,8294,3543,96.5,43.0,1,0,0,0,0
76,78,23,8,50,37,24,16,12,22,9,14,10,3,5,9,6,2,4,19806,0.59,33569,14,989,3598,1755,98.75,45.5,1,0,0,0,0
249,151,67,111,108,78,45,52,28,41,28,21,17,38,22,16,15,15,9,38520,1.71,22526,44,2905,14578,7023,101.0,48.0,1,0,0,0,0
7,110,18,4,5,19,9,8,8,1,3,5,3,2,4,1,0,2,0,24445,1.26,19401,8,563,1844,1080,81.0,48.0,1,0,0,0,0
72,109,25,8,20,17,18,12,6,7,8,4,15,2,3,4,4,4,2,12689,1.07,11859,8,3360,10475,2775,116.25,50.0,1,0,0,0,0
22,130,17,15,18,34,16,15,14,6,9,9,5,3,10,2,3,3,3,23953,0.87,27532,12,847,1921,1051,94.0,44.0,1,0,0,0,0
78,117,29,29,35,54,33,18,15,14,7,12,6,10,11,2,8,7,8,23158,1.39,16660,12,1154,3478,1711,99.0,46.25,1,0,0,0,0
189,182,76,54,69,69,33,36,27,28,30,24,26,20,16,9,10,12,7,39942,1.41,28328,42,2705,11864,5840,96.75,48.0,1,0,0,0,0
118,169,61,26,34,54,25,34,22,23,31,17,5,1,17,8,11,16,7,45297,6.82,6642,58,1884,11972,5653,83.25,45.0,1,0,0,0,0
