,기간,자치구행정동명,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,서울운영평균,서울시폐업평균
282,2015,송파구 가락본동,63,3647,31676,12291,86.25,41.75,94.75,47.0
283,2015,송파구 거여1동,14,895,2976,1398,85.25,44.5,94.75,47.0
284,2015,송파구 거여2동,16,1082,3987,1817,100.25,45.75,94.75,47.0
285,2015,송파구 마천1동,11,998,2313,1075,96.25,46.75,94.75,47.0
286,2015,송파구 마천2동,13,1343,4657,2110,103.25,48.0,94.75,47.0
287,2015,송파구 문정1동,28,1397,7901,2935,86.0,45.5,94.75,47.0
288,2015,송파구 문정2동,37,2802,17613,5771,59.5,37.5,94.75,47.0
289,2015,송파구 방이1동,34,1359,11044,4015,90.25,42.5,94.75,47.0
290,2015,송파구 방이2동,46,3030,22334,8935,89.25,43.5,94.75,47.0
291,2015,송파구 삼전동,28,1969,12617,4127,88.5,42.5,94.75,47.0
292,2015,송파구 석촌동,40,2722,16586,6798,96.25,43.5,94.75,47.0
293,2015,송파구 송파1동,39,2528,13522,4678,95.25,43.25,94.75,47.0
294,2015,송파구 송파2동,26,938,5517,2298,86.5,43.5,94.75,47.0
295,2015,송파구 오금동,45,3214,17071,5671,94.0,45.0,94.75,47.0
296,2015,송파구 오륜동,15,533,4491,2087,109.5,57.0,94.75,47.0
297,2015,송파구 위례동,3,154,666,379,41.5,51.75,94.75,47.0
298,2015,송파구 잠실2동,22,782,4040,2223,61.5,35.0,94.75,47.0
299,2015,송파구 잠실3동,42,1523,9869,5668,91.5,63.0,94.75,47.0
300,2015,송파구 잠실4동,8,479,1863,1133,73.75,40.25,94.75,47.0
301,2015,송파구 잠실6동,66,2445,39591,14505,84.0,50.75,94.75,47.0
302,2015,송파구 잠실7동,4,196,1100,627,126.5,63.5,94.75,47.0
303,2015,송파구 잠실본동,61,3032,19062,7617,92.75,44.75,94.75,47.0
304,2015,송파구 장지동,27,1444,11991,3829,79.0,41.5,94.75,47.0
305,2015,송파구 풍납1동,7,785,2774,1577,105.5,49.75,94.75,47.0
306,2015,송파구 풍납2동,21,1188,15800,9539,93.5,47.75,94.75,47.0
307,2015,양천구 목1동,78,2961,22234,10641,73.0,44.75,94.75,47.0
308,2015,양천구 목2동,21,1158,4010,1851,91.5,46.25,94.75,47.0
309,2015,양천구 목3동,16,1213,4791,2187,93.25,46.0,94.75,47.0
310,2015,양천구 목4동,21,1328,4472,2278,86.5,43.5,94.75,47.0
311,2015,양천구 목5동,30,1576,10422,6121,82.5,45.0,94.75,47.0
312,2015,양천구 신월1동,8,1747,4893,2194,98.5,43.5,94.75,47.0
313,2015,양천구 신월2동,9,1238,3876,1720,98.5,46.0,94.75,47.0
314,2015,양천구 신월3동,10,974,4147,1653,104.0,43.75,94.75,47.0
315,2015,양천구 신월4동,15,1134,4114,1548,87.0,46.25,94.75,47.0
316,2015,양천구 신월5동,14,998,4251,1860,93.5,46.75,94.75,47.0
317,2015,양천구 신월6동,2,1575,3523,1177,123.0,48.75,94.75,47.0
318,2015,양천구 신월7동,10,1375,5709,1989,90.0,43.0,94.75,47.0
319,2015,양천구 신정1동,23,1116,5010,2763,103.5,46.0,94.75,47.0
320,2015,양천구 신정2동,14,1088,3580,1926,87.0,44.5,94.75,47.0
321,2015,양천구 신정3동,18,2013,9146,3976,87.75,46.25,94.75,47.0
322,2015,양천구 신정4동,49,3081,14591,6827,89.0,42.75,94.75,47.0
323,2015,양천구 신정6동,9,738,6238,2879,72.5,43.0,94.75,47.0
324,2015,양천구 신정7동,11,984,4436,1999,89.0,43.75,94.75,47.0
325,2015,영등포구 당산1동,51,3288,18382,7635,95.5,43.5,94.75,47.0
326,2015,영등포구 당산2동,52,2426,21386,10246,86.25,46.25,94.75,47.0
327,2015,영등포구 대림1동,10,1191,4432,2562,103.25,43.0,94.75,47.0
328,2015,영등포구 대림2동,13,1342,4663,2321,87.25,40.5,94.75,47.0
329,2015,영등포구 대림3동,21,2850,10764,4469,90.25,42.5,94.75,47.0
330,2015,영등포구 도림동,8,1009,3342,1269,96.25,48.0,94.75,47.0
331,2015,영등포구 문래동,60,5401,38775,14974,87.25,45.75,94.75,47.0
332,2015,영등포구 신길1동,11,1181,5312,2277,107.0,48.0,94.75,47.0
333,2015,영등포구 신길3동,9,1013,3049,1382,119.25,51.5,94.75,47.0
334,2015,영등포구 신길4동,3,549,1889,1099,99.5,46.25,94.75,47.0
