,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
478,2016,강서구 공항동,148,116,53,24,75,40,24,17,13,24,26,11,19,1,6,11,8,7,5
479,2016,강서구 등촌1동,121,88,67,49,35,33,12,22,15,18,21,13,24,2,5,5,6,11,5
480,2016,강서구 등촌2동,35,63,26,6,16,23,12,15,10,5,8,9,5,0,5,4,3,5,3
481,2016,강서구 등촌3동,129,113,53,224,31,47,32,27,17,18,19,21,18,4,10,12,9,16,6
482,2016,강서구 발산1동,84,181,54,43,28,52,33,39,16,7,15,16,10,18,17,7,6,17,5
483,2016,강서구 방화1동,164,190,113,58,57,91,25,31,25,27,29,24,22,26,27,11,9,14,7
484,2016,강서구 방화2동,121,130,50,198,62,48,28,21,14,24,18,9,20,5,9,9,9,16,7
485,2016,강서구 방화3동,33,114,26,15,12,28,13,6,13,3,11,7,2,1,3,2,1,7,2
486,2016,강서구 염창동,107,101,72,19,39,48,21,22,25,14,19,13,18,5,8,9,7,13,6
487,2016,강서구 우장산동,88,119,86,34,35,69,22,19,21,17,18,12,10,5,10,7,6,13,5
488,2016,강서구 화곡1동,211,214,110,68,167,89,42,33,37,63,50,23,27,6,15,20,19,14,14
489,2016,강서구 화곡2동,30,102,23,9,16,33,17,8,12,5,8,5,5,4,2,2,4,4,2
490,2016,강서구 화곡3동,93,71,48,25,43,53,15,16,18,18,11,12,1,3,12,5,11,11,8
491,2016,강서구 화곡4동,105,118,35,45,53,61,19,20,16,35,14,13,7,21,20,9,6,4,8
492,2016,강서구 화곡6동,174,88,51,31,138,42,23,20,17,40,24,16,8,6,8,14,13,6,6
493,2016,강서구 화곡8동,72,105,66,35,31,55,15,18,16,13,10,15,2,11,16,8,3,9,5
494,2016,강서구 화곡본동,88,127,51,21,56,44,28,21,20,12,15,16,6,11,12,10,6,5,6
495,2016,관악구 낙성대동,135,34,35,8,83,33,19,32,12,23,18,11,10,1,8,11,9,4,5
496,2016,관악구 난곡동,30,133,27,14,22,46,32,15,16,9,13,12,8,8,9,1,4,7,7
497,2016,관악구 난향동,12,62,15,3,5,16,7,6,7,1,4,7,0,2,5,2,1,2,1
498,2016,관악구 남현동,84,41,26,18,47,27,5,12,11,12,19,10,7,4,5,6,1,6,3
499,2016,관악구 대학동,172,44,40,7,60,45,29,53,20,31,30,23,0,3,9,19,14,11,27
500,2016,관악구 미성동,79,176,43,45,31,52,28,23,21,11,17,13,14,8,14,6,5,6,2
501,2016,관악구 보라매동,95,76,39,179,34,52,19,19,17,17,10,11,2,5,12,9,5,11,2
502,2016,관악구 삼성동,55,138,28,31,17,31,27,8,19,4,6,9,7,20,12,4,2,3,0
503,2016,관악구 서림동,70,57,30,8,22,25,24,13,17,7,16,7,4,3,7,7,4,4,9
504,2016,관악구 서원동,143,54,34,76,100,35,22,26,12,31,20,9,8,0,4,7,9,10,8
505,2016,관악구 성현동,17,93,33,11,12,37,14,8,11,2,7,8,7,4,5,7,2,5,3
506,2016,관악구 신림동,159,29,96,57,134,57,21,28,23,49,35,6,3,7,6,7,8,3,13
507,2016,관악구 신사동,78,56,69,24,42,67,24,35,26,20,22,14,14,13,16,17,6,5,7
508,2016,관악구 신원동,64,43,33,24,26,33,20,18,11,9,7,12,3,21,15,6,1,6,5
509,2016,관악구 은천동,111,106,62,21,57,51,25,21,20,14,19,14,21,4,11,10,6,12,3
510,2016,관악구 인헌동,64,78,44,29,25,38,18,28,19,16,18,12,1,16,11,5,5,6,5
511,2016,관악구 조원동,138,444,54,41,77,47,33,17,16,35,16,15,28,7,15,20,8,5,11
512,2016,관악구 중앙동,86,46,47,20,45,37,14,8,11,8,14,9,9,1,4,5,2,5,4
513,2016,관악구 청룡동,155,62,89,82,63,72,21,31,26,23,33,20,5,11,11,11,10,10,7
514,2016,관악구 청림동,16,39,23,6,16,24,8,7,9,3,5,2,1,5,4,2,1,4,1
515,2016,관악구 행운동,95,68,60,48,47,66,22,21,24,16,23,17,5,9,10,4,4,10,5
516,2016,광진구 광장동,80,28,66,21,21,30,23,23,15,6,19,8,4,2,6,5,3,16,2
517,2016,광진구 구의1동,150,67,82,36,87,54,23,27,23,47,23,13,4,4,6,12,11,13,7
518,2016,광진구 구의2동,99,113,39,24,25,38,18,14,17,11,13,10,6,2,9,5,4,6,9
519,2016,광진구 구의3동,134,56,68,105,51,52,37,30,24,17,24,12,6,1,4,11,8,18,6
520,2016,광진구 군자동,106,70,48,22,64,49,20,27,20,22,21,15,10,4,12,12,8,11,8
521,2016,광진구 능동,54,25,29,8,25,12,15,9,8,19,16,6,3,0,4,0,3,4,3
522,2016,광진구 자양1동,131,92,60,60,34,56,22,18,17,20,17,13,10,26,19,12,8,7,9
523,2016,광진구 자양2동,76,129,54,17,38,48,25,18,23,18,15,11,9,3,6,4,4,7,5
524,2016,광진구 자양3동,71,92,61,74,14,37,14,17,21,3,18,9,4,1,7,6,3,20,2
525,2016,광진구 자양4동,154,108,53,95,63,60,23,29,20,48,22,20,9,22,23,68,16,7,14
526,2016,광진구 중곡1동,99,63,46,22,63,39,24,20,12,21,13,12,14,15,16,4,7,7,4
527,2016,광진구 중곡2동,94,87,60,26,44,56,20,13,18,23,18,6,12,5,8,5,3,4,5
528,2016,광진구 중곡3동,74,76,46,23,62,49,19,18,17,16,13,7,7,5,5,6,4,7,7
529,2016,광진구 중곡4동,89,140,41,58,38,55,28,24,19,17,15,5,2,8,13,4,8,10,5
530,2016,광진구 화양동,286,48,74,49,255,77,26,47,24,90,55,22,3,10,6,17,20,22,19
531,2016,구로구 가리봉동,70,40,24,17,73,33,45,7,9,41,12,4,7,11,6,66,2,0,8
532,2016,구로구 개봉1동,118,180,47,26,47,67,40,22,26,19,18,20,12,4,20,14,8,13,7
533,2016,구로구 개봉2동,57,120,40,20,33,55,19,16,19,11,7,15,8,10,9,4,3,9,5
534,2016,구로구 개봉3동,56,117,32,24,31,51,17,14,10,8,7,15,9,5,10,4,6,3,4
535,2016,구로구 고척1동,122,117,29,98,58,42,29,19,12,22,12,18,9,7,8,11,13,9,7
536,2016,구로구 고척2동,77,144,43,43,32,56,22,21,19,11,11,13,16,14,12,6,4,7,4
537,2016,구로구 구로1동,20,72,23,7,20,20,8,9,14,2,7,4,6,0,8,2,2,4,3
538,2016,구로구 구로2동,258,147,89,34,91,79,80,32,26,35,22,16,25,11,11,59,14,6,6
539,2016,구로구 구로3동,292,65,131,38,86,45,30,49,20,37,54,20,6,0,5,40,15,18,6
540,2016,구로구 구로4동,133,90,66,89,88,69,53,38,20,36,15,16,4,33,17,59,7,6,9
541,2016,구로구 구로5동,228,126,94,264,65,45,31,33,28,43,30,15,11,3,7,28,11,19,6
542,2016,구로구 수궁동,65,155,30,9,20,32,25,15,13,9,18,11,8,3,13,7,6,7,5
543,2016,구로구 신도림동,132,82,71,156,29,39,24,17,13,12,24,17,10,4,7,9,6,22,3
544,2016,구로구 오류1동,75,80,30,25,34,40,18,17,16,16,18,9,5,10,10,5,8,9,4
545,2016,구로구 오류2동,82,208,45,13,18,45,25,21,22,8,19,15,5,11,16,8,2,11,3
