매장명,매장주소
본 죽&비빔밥 부산대점,부산광역시 금정구 금강로 265 (장전동) 본 죽&비빔밥 부산대점
본 죽&비빔밥 부산개금점,부산광역시 부산진구 엄광로 34 (개금동) 본죽&비빔밥 부산개금점
본 죽&비빔밥 부산부곡시장점,부산광역시 금정구 부곡로 115 (부곡동) 본죽&비빔밥 부산부곡시장점
본 죽&비빔밥 센텀시티역점,"부산광역시 해운대구 센텀동로 26 (우동, 한화꿈에그린센텀) A동 101B-1호"
본 죽&비빔밥 부산연산점,"부산광역시 연제구 반송로 33 (연산동, 샤르망라이프) 102호"
본 죽&비빔밥 부산범일점,"부산광역시 동구 조방로 14 (범일동, 동일타워) 1층 제 판매2-104호"
본 죽&비빔밥 부산수영점,부산 수영구 광안동 98-1 삼정코아더시티오피스텔 1층
본 죽&비빔밥 부산일광신도시점,"부산 기장군 일광면 해빛2로 24 (삼성리, 일광 신도시 비스타 동원1차) 301동 상가 117호"
본 죽&비빔밥 해운대마린시티점,"부산광역시 해운대구 마린시티2로 47 (우동, 트럼프월드마린아파트) 제C동 105호"
본 죽&비빔밥 부산초량점,부산 동구 초량동 42-18 1층
본 죽&비빔밥 부산안락점,부산광역시 동래구 충렬대로 354 (안락동)
본 죽&비빔밥 부산남구청점,부산광역시 남구 못골로 42 (대연동) 1층
본 죽&비빔밥 부산화명동점,"부산광역시 북구 화명신도시로 132 (화명동, 위너스타워) 101호"
본 죽&비빔밥 부산토곡점,"부산광역시 연제구 과정로 169 (연산동, 금광타워) 102호"
본 죽&비빔밥 부산법조타운점,부산광역시 연제구 법원남로10번길 7 (거제동)
본 죽&비빔밥 부산재송점,"부산광역시 해운대구 재반로 123 (재송동, 상록캐스빌) 102호"
본 죽&비빔밥 동아대병원점,부산광역시 서구 대신공원로 14 (동대신동3가) 1층
본 죽&비빔밥 부산엄궁점,부산광역시 사상구 엄궁북로 24 (엄궁동) 1층 (구-올드팝)
본 죽&비빔밥 부산오륙도SK점,"부산광역시 남구 오륙도로 85 (용호동, 오륙도에스케이뷰아파트) 오륙도SK뷰 단지내상가 201동 105호"
본 죽&비빔밥 부산사하구청점,부산광역시 사하구 낙동대로 398 (당리동)
본 죽&비빔밥 부산동래점,부산광역시 동래구 충렬대로 211 (명륜동)
본 죽&비빔밥 부산부경대경성대점,부산광역시 남구 용소로 46-1 (대연동)
본 죽&비빔밥 부산명지국제중앙점,부산광역시 강서구 명지국제8로 240 (명지동) 국제메디칼빌딩103호
본 죽&비빔밥 부산괴정점,부산광역시 사하구 낙동대로 231 (괴정동)
본 죽&비빔밥 부산하단점,부산광역시 사하구 낙동대로 460 (당리동)
본 죽&비빔밥 정관신도시점,"부산광역시 기장군 정관읍 정관로 560 (정관읍, 마치빌딩) 마치빌딩 1층 103호"
본 죽&비빔밥 해운대수비오거리점,부산광역시 해운대구 해운대로 403 (우동) 1층 104호
본 죽&비빔밥 대구침산네거리점,대구광역시 북구 침산로 154 (침산동)
본 죽&비빔밥 대구구병원점,대구광역시 달서구 달구벌대로 1600 (감삼동)
본 죽&비빔밥 대구목련시장점,대구광역시 수성구 용학로 198 (지산동)
본 죽&비빔밥 대구수성교점,"대구광역시 수성구 달구벌대로 2315 (수성동4가, 수성 롯데캐슬) 114호"
본 죽&비빔밥 대구범물동아백화점점,대구광역시 수성구 용학로 293 (지산동) 1층
본 죽&비빔밥 대구신매시장점,"대구광역시 수성구 신매로 91 (신매동, 시지삼주한라협화타운) 112동 106호"
본 죽&비빔밥 대구서부정류장점,대구광역시 달서구 월배로 457 (송현동) 1층
본 죽&비빔밥 대구연경점,대구광역시 북구 동화천로 237 (연경동) 1층
본 죽&비빔밥 대구서구청점,대구광역시 서구 국채보상로 248 (평리동) 1층
본 죽&비빔밥 대구칠호광장점,대구광역시 서구 달구벌대로 1727-1 (내당동) 2층
본 죽&비빔밥 대구율하점,"대구 동구 안심로16길 47 (율하동, 율하동 타임스퀘어) 114호"
본 죽&비빔밥 대구동성로중앙점,대구광역시 중구 중앙대로 388 (동성로3가)
본 죽&비빔밥 대구사월점,"대구광역시 수성구 달구벌대로 3304 (신매동, 사월화성파크드림) 상가110동 2호"
본 죽&비빔밥 대구매천점,대구광역시 북구 학정로 50 (태전동)
본 죽&비빔밥 대구알파시티점,"대구광역시 수성구 알파시티2로 27 (시지동, 수성메트로)"
본 죽&비빔밥 대구구지점,대구광역시 달성군 구지면 과학마을로 48
본 죽&비빔밥 대구대명영대병원점,대구광역시 남구 중앙대로 141 (대명동)
본 죽&비빔밥 대구가톨릭병원점,대구광역시 남구 두류공원로 91 1층
본 죽&비빔밥 대구효성타운점,대구광역시 남구 효성로 58 (봉덕동) 1층
본 죽&비빔밥 대구테크노폴리스점,대구광역시 달성군 현풍읍 테크노중앙대로 243 (타임스퀘어) 1층 107호(타임스퀘어)
