매장명,매장주소,lat,lng
본 죽&비빔밥 용산역아이파크몰점,충북 충주시 연수동산로3길 20,37.5297718,126.9647415
본죽 강동성심병원점,충북 충주시 연수동산로3길 20,37.537231,127.1347625
본죽 방배상문고점,충북 충주시 연수동산로3길 20,37.4817579,127.004721
본죽 남구로역점,충북 충주시 연수동산로3길 20,37.4886875,126.8905999
본죽 명일역점,충북 충주시 연수동산로3길 20,37.5506521,127.1443104
본죽 신풍역점,충북 충주시 연수동산로3길 20,37.5010387,126.9137134
본죽 번동점,충북 충주시 연수동산로3길 20,37.6280232,127.0406846
본죽 송파점,충북 충주시 연수동산로3길 20,37.5042203,127.1145662
본죽 청담프리마점,충북 충주시 연수동산로3길 20,37.5248741,127.0504024
본죽 공릉점,충북 충주시 연수동산로3길 20,37.6284968,127.0693483
본 죽&비빔밥 연신내점,충북 충주시 연수동산로3길 20,37.6194786,126.9229341
본도시락 수서역점,충북 충주시 연수동산로3길 20,37.4873192,127.103108
본도시락 봉은사역점,충북 충주시 연수동산로3길 20,37.5143637,127.0637774
본죽 올림픽점,충북 충주시 연수동산로3길 20,37.515729,127.1310643
본 죽&비빔밥 둔촌보훈병원점,충북 충주시 연수동산로3길 20,37.5294493,127.1433454
본 죽&비빔밥 구산역점,충북 충주시 연수동산로3길 20,37.6110266,126.9181024
본도시락 북한산힐스테이트7차점,충북 충주시 연수동산로3길 20,37.6160938,126.9264534
본죽 돌곶이역점,충북 충주시 연수동산로3길 20,37.6095199,127.0582198
본죽 상계백병원점,충북 충주시 연수동산로3길 20,37.6504505,127.0634916
본죽 월계점,충북 충주시 연수동산로3길 20,37.6310464,127.0609491
본 죽&비빔밥 오류점,충북 충주시 연수동산로3길 20,37.496133,126.8435098
본 죽&비빔밥 가양점,충북 충주시 연수동산로3길 20,37.5570639,126.8613201
본죽 테크노마트점,충북 충주시 연수동산로3길 20,37.5367895,127.096155
본도시락 화곡점,충북 충주시 연수동산로3길 20,37.5368621,126.8366942
본죽 인사동점,충북 충주시 연수동산로3길 20,37.574684,126.9838841
본도시락 교대역점,충북 충주시 연수동산로3길 20,37.4934522,127.0161427
본죽 금천롯데캐슬점,충북 충주시 연수동산로3길 20,37.4599082,126.8939352
본죽 위례중앙점,충북 충주시 연수동산로3길 20,37.476495,127.1422214
본죽 신정네거리역점,충북 충주시 연수동산로3길 20,37.5191659,126.853621
본도시락 양재점,충북 충주시 연수동산로3길 20,37.4873134,127.0310599
본 죽&비빔밥 성신여대점,충북 충주시 연수동산로3길 20,37.5909311,127.018132
본도시락 남부터미널점,충북 충주시 연수동산로3길 20,37.4858725,127.0162758
본죽 평창점,충북 충주시 연수동산로3길 20,37.6061821,126.9672314
본도시락 대치은마점,충북 충주시 연수동산로3길 20,37.50003,127.0632457
본죽 신정점,충북 충주시 연수동산로3길 20,37.5210776,126.8599516
본 죽&비빔밥 발산사거리점,충북 충주시 연수동산로3길 20,37.5596114,126.8372423
본 죽&비빔밥 고려대점,충북 충주시 연수동산로3길 20,37.5861398,127.0292445
본죽 강서구청점,충북 충주시 연수동산로3길 20,37.5556299,126.8481784
본죽 내발산점,충북 충주시 연수동산로3길 20,37.5529875,126.8267708
본죽 동부시장점,충북 충주시 연수동산로3길 20,37.5929988,127.0764914
본도시락 디지털미디어시티역점,충북 충주시 연수동산로3길 20,37.5782607,126.9010885
본도시락 신설동역점,충북 충주시 연수동산로3길 20,37.576337,127.0246299
본죽 성수역점,충북 충주시 연수동산로3길 20,37.546625,127.0546176
본 죽&비빔밥 장지파인타운점,충북 충주시 연수동산로3길 20,37.4776424,127.1272823
본 죽&비빔밥 잠실점,충북 충주시 연수동산로3길 20,37.517819,127.1017233
본 죽&비빔밥 불광역아울렛점,충북 충주시 연수동산로3길 20,37.6096838,126.9282527
본죽 개롱역점,충북 충주시 연수동산로3길 20,37.4972177,127.1359335
본도시락 서대문점,충북 충주시 연수동산로3길 20,37.5675317,126.9646453
본도시락 방배역점,충북 충주시 연수동산로3길 20,37.4848532,126.9908296
본 죽&비빔밥 영등포시장역점,충북 충주시 연수동산로3길 20,37.5201519,126.9058157
본 죽&비빔밥 목동파라곤점,충북 충주시 연수동산로3길 20,37.5299683,126.8752425
본죽 길동시장점,충북 충주시 연수동산로3길 20,37.538364,127.1414531
본죽 동양대학점,충북 충주시 연수동산로3길 20,37.5000124,126.867356
본도시락 명일동점,충북 충주시 연수동산로3길 20,37.5521949,127.1432395
본도시락 서래마을점,충북 충주시 연수동산로3길 20,37.4980402,126.9998044
본도시락 중앙대점,충북 충주시 연수동산로3길 20,37.5072239,126.958712
본 죽&비빔밥 망원역점,충북 충주시 연수동산로3길 20,37.5577328,126.9061388
본 죽&비빔밥 건대점,충북 충주시 연수동산로3길 20,37.5395252,127.0701644
본죽 망우동점,충북 충주시 연수동산로3길 20,37.6008007,127.1038732
본죽 잠원점,충북 충주시 연수동산로3길 20,37.5149088,127.0144046
본죽 중화역점,충북 충주시 연수동산로3길 20,37.6014397,127.0783619
본죽 신림푸르지오점,충북 충주시 연수동산로3길 20,37.4806043,126.909729
본도시락 구의점,충북 충주시 연수동산로3길 20,37.5399301,127.0948406
본 죽&비빔밥 시흥사거리점,충북 충주시 연수동산로3길 20,37.454708,126.8999653
본 죽&비빔밥 장한평역점,충북 충주시 연수동산로3길 20,37.5618445,127.0667795
본죽 대치은마점,충북 충주시 연수동산로3길 20,37.4991911,127.0630094
본도시락 신용산점,충북 충주시 연수동산로3길 20,37.5255034,126.9647645
본죽 강동구청점,충북 충주시 연수동산로3길 20,37.5304146,127.1211957
본 죽&비빔밥 강남역점,충북 충주시 연수동산로3길 20,37.4947195,127.028171
본죽 먹골역점,충북 충주시 연수동산로3길 20,37.6129687,127.0781552
본죽 전농동점,충북 충주시 연수동산로3길 20,37.5775998,127.0598999
본죽 청량리점,충북 충주시 연수동산로3길 20,37.5814337,127.0450144
본죽 목동로데오점,충북 충주시 연수동산로3길 20,37.5279175,126.8644065
본 죽&비빔밥 강남점,충북 충주시 연수동산로3길 20,37.4997359,127.0289802
본죽 천왕점,충북 충주시 연수동산로3길 20,37.4812207,126.8390083
본도시락 시립대점,충북 충주시 연수동산로3길 20,37.582874,127.0537533
본 죽&비빔밥 강남성심병원점,충북 충주시 연수동산로3길 20,37.4922856,126.9087115
본죽 성산점,충북 충주시 연수동산로3길 20,37.5701536,126.9038462
